username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-10-27 00:52;0;1;"This wee guy is going to keep chapped lips at bay! #coconut #balmdotcom @glossier pic.twitter.com/e4q4XByK68";;@glossier;#coconut #balmdotcom;"923819712273965056";https://twitter.com/NaomiABuchanan/status/923819712273965056
;2017-10-26 22:47;0;4;"Thanks @calebrmclaughl1 for your fun interview at the #StrangerThings2 premiere! Your Halloween costume (pun) was awesome!! #BalmDotCom";;@calebrmclaughl1;#StrangerThings2 #BalmDotCom;"923788274346237952";https://twitter.com/AmandaSalas/status/923788274346237952
;2017-10-23 15:29;0;0;"glossier #myfavoritekindofdelivery #glossier #glossiergirl #bodyhero #balmdotcom https://www. instagram.com/p/Bam3kRbFM5q/";;;#myfavoritekindofdelivery #glossier #glossiergirl #bodyhero #balmdotcom;"922590766114988032";https://twitter.com/Courtneyerob/status/922590766114988032
;2017-10-23 04:58;0;1;"Cherry On Top - glossier #balmdotcom #cherry #lipbalm #makeup #instabeauty #instablogger #womf … https://www. instagram.com/p/BalvYoAHNTY/";;;#balmdotcom #cherry #lipbalm #makeup #instabeauty #instablogger #womf;"922432047699906561";https://twitter.com/RougepoutBeauty/status/922432047699906561
;2017-10-21 08:17;0;0;"And so the obsession begins glossier . . . #glossier #intothegloss #glossierpink #balmdotcom … https://www. instagram.com/p/Bag8iw9H52M/";;;#glossier #intothegloss #glossierpink #balmdotcom;"921757290318979073";https://twitter.com/Keeley_Smyth/status/921757290318979073
;2017-10-19 08:58;0;2;"#BalmDotcom for lips and #PrimingMoisturizer for face by @glossier . Affordable, ethical and so, so, so good!";;@glossier;#BalmDotcom #PrimingMoisturizer;"921042982589095936";https://twitter.com/ChantellAlyse/status/921042982589095936
;2017-10-18 17:12;1;0;"For whatever mood your in comes in 6 amazing flavors (unscented original/birthday cake/rose/mint/coconut/cherry) #balmdotcom #glossier … pic.twitter.com/TV9XbOWVfu";;;#balmdotcom #glossier;"920804688018128896";https://twitter.com/jacquie_exline/status/920804688018128896
;2017-10-18 07:11;0;4;"Thank goodness for @glossier and my bestie #balmdotcom keeping my soft in Iceland’s ferocious wind and blistering cold. pic.twitter.com/HvsMHHx9Tw";;@glossier;#balmdotcom;"920653529634738176";https://twitter.com/WBKesner/status/920653529634738176
;2017-10-18 06:58;0;0;"Want 10% off your next #Glossier order? You def need the #birthdaycake #balmdotcom ! http:// bff.glossier.com/gMn6Y";;;#Glossier #birthdaycake #balmdotcom;"920650387782238209";https://twitter.com/khahy/status/920650387782238209
;2017-10-18 02:34;0;0;"Ok, so I'm officially obsessed with @glossier #BalmDotCom in #Birthday - get 10% off with my link! http:// bff.glossier.com/gHsc5 #bblogger pic.twitter.com/svwinF3uIz";;@glossier;#BalmDotCom #Birthday #bblogger;"920583843723309057";https://twitter.com/laurendall/status/920583843723309057
