username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-10-28 13:52;0;0;"if you haven't tried #boybrow , then you're in luck. my rep link gets you 20% off #glossier : http://www. glossier.com/reps/katiesche nk … #makeup #beauty #love";;;#boybrow #glossier #makeup #beauty #love;"924378278944579584";https://twitter.com/katiebschenk/status/924378278944579584
;2017-10-27 16:58;0;1;"get your #boybrow for 20% off using my rep link: http://www. glossier.com/reps/katiesche nk … #pdx #pnw #glossier #glossierdiscount #glossierpromo #skincare";;;#boybrow #pdx #pnw #glossier #glossierdiscount #glossierpromo #skincare;"924062805774491648";https://twitter.com/katiebschenk/status/924062805774491648
;2017-10-18 06:51;0;0;"Want 10% your first @glossier purchase? Use my link: http:// bff.glossier.com/gMnYh (I recommend the #boybrow )";;@glossier;#boybrow;"920648599301689344";https://twitter.com/readysetsasha/status/920648599301689344
;2017-10-18 05:19;0;0;"2 out of 3 glossier #glossier #boybrow #stretchconcealer #generationg https://www. instagram.com/p/BaY50CPBdvK/";;;#glossier #boybrow #stretchconcealer #generationg;"920625396567166978";https://twitter.com/_warpaints/status/920625396567166978
;2017-10-17 14:47;0;0;"10% off all glossier products! Link in my bio #discount #boybrow #bodyhero #cloudpaint";;;#discount #boybrow #bodyhero #cloudpaint;"920406053203906560";https://twitter.com/BeckyS944/status/920406053203906560
;2017-10-17 13:24;0;1;"@glossier has arrived! Can't wait to try #boybrow and #cloudpaint , review coming soon... #GLOSSIER pic.twitter.com/3NNtF0HTJ9";;@glossier;#boybrow #cloudpaint #GLOSSIER;"920385069600124929";https://twitter.com/BeautynTraveler/status/920385069600124929
;2017-10-17 09:48;0;0;"Also, go check out my #boybrow action and clean skin on @memebox_usa today! ivylchristensen is… https://www. instagram.com/p/BaWzyOWAe-u/";;@memebox_usa;#boybrow;"920330661214543878";https://twitter.com/camillemonique/status/920330661214543878
;2017-10-16 17:36;0;1;"#glossier #haloscope #boybrow #generationg";;;#glossier #haloscope #boybrow #generationg;"920086081202044929";https://twitter.com/owlysun/status/920086081202044929
;2017-10-16 11:49;0;0;"glossier has arrived! I can't wait to try #boybrow and #cloudpaint . I will review soon #glossier … https://www. instagram.com/p/BaUcwZoA5kx/";;;#boybrow #cloudpaint #glossier;"919998768514154496";https://twitter.com/BeautynTraveler/status/919998768514154496
;2017-10-13 17:13;0;2;"Whooo hooo!! Was finally able to get some @glossier !! Can't wait for it to arrive! #Glossier #CloudPaint #BoyBrow #balmdotcom";;@glossier;#Glossier #CloudPaint #BoyBrow #balmdotcom;"918993061757181952";https://twitter.com/TaraArtistry/status/918993061757181952
;2017-10-13 13:59;0;4;"Loving my #cloudpaint , #boybrow , #stretchconcealer , and #generationg from @glossier ! Can’t wait to try more products! pic.twitter.com/47Kb63dik5";;@glossier;#cloudpaint #boybrow #stretchconcealer #generationg;"918944229983903744";https://twitter.com/leshenofrivia/status/918944229983903744
;2017-10-13 07:32;0;1;"Thanks @theskimm for the promo code to try out @glossier , really excited for the #BoyBrow and #Haloscope !";;@theskimm @glossier;#BoyBrow #Haloscope;"918846929630527489";https://twitter.com/JuleStamp/status/918846929630527489
;2017-10-12 15:30;1;19;"Brows on fleek! Use sourcil styler for that natural #boybrow we all love! Photo by Adrianna Almada. http:// bit.ly/Sstyler pic.twitter.com/eEZ4Oh6cjM";;;#boybrow;"918604727524478983";https://twitter.com/LancomeUSA/status/918604727524478983
;2017-10-11 03:36;0;1;"FUDGE, I forgot to #boybrow before work @glossier #dayruined";;@glossier;#boybrow #dayruined;"918062791071862784";https://twitter.com/Erica__Clapton/status/918062791071862784
;2017-10-10 12:25;0;1;"Glossier in stock now. #pinkcos_ #glossiercloudpaint #glossier #boybrow #pinkcosmetics https://www. instagram.com/p/BaFEJqchpyz/";;;#pinkcos_ #glossiercloudpaint #glossier #boybrow #pinkcosmetics;"917833379466407938";https://twitter.com/pinkbath_/status/917833379466407938
;2017-10-10 08:05;0;2;"okay... #boybrow by @glossier is legit the best #eyebrow product I have ever used.";;@glossier;#boybrow #eyebrow;"917767982142459905";https://twitter.com/joanna_clarke/status/917767982142459905
