username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-10-27 10:27;2;1;"get your #glossier here for 20% off: http://www. glossier.com/reps/katiesche nk … #pdx #pnw #beauty #skincare #makeup #glossierdiscount #glossiergirl";;;#glossier #pdx #pnw #beauty #skincare #makeup #glossierdiscount #glossiergirl;"923964317824897025";https://twitter.com/katiebschenk/status/923964317824897025
;2017-10-23 15:29;0;0;"glossier #myfavoritekindofdelivery #glossier #glossiergirl #bodyhero #balmdotcom https://www. instagram.com/p/Bam3kRbFM5q/";;;#myfavoritekindofdelivery #glossier #glossiergirl #bodyhero #balmdotcom;"922590766114988032";https://twitter.com/Courtneyerob/status/922590766114988032
;2017-10-22 11:58;0;0;"20% off your 1st order: http://www. glossier.com/reps/katiesche nk … #glossier #glossierdiscount #glossierpromo #skincare #beauty #makeup #glossiergirl";;;#glossier #glossierdiscount #glossierpromo #skincare #beauty #makeup #glossiergirl;"922175448993251328";https://twitter.com/katiebschenk/status/922175448993251328
;2017-10-21 17:19;0;0;"#lostlakefestival day #ootd #uoonyou #lostlakelooks #glossier #glossiergirl @Steele Indian… https://www. instagram.com/p/Bah6lWKFIMd/";;@Steele;#lostlakefestival #ootd #uoonyou #lostlakelooks #glossier #glossiergirl;"921893723193065472";https://twitter.com/Courtneyerob/status/921893723193065472
;2017-10-09 11:12;0;1;"@glossier congrats on your UK launch Canada loves you too I'm forever a fan #glossiergirl #skinisin #intothegloss #BeautyBlogger";;@glossier;#glossiergirl #skinisin #intothegloss #BeautyBlogger;"917452615801114625";https://twitter.com/fashionB4funct/status/917452615801114625
;2017-10-09 11:09;0;2;"This is my new fave !! Love it so much #bodyhero #glossier #glossiergirl";;;#bodyhero #glossier #glossiergirl;"917452063763603457";https://twitter.com/fashionB4funct/status/917452063763603457
;2017-10-06 21:14;0;3;"New skincare bits from @glossier ! // #glossier #glossierrep #glossiergirl #thesupers #glow #pure #bounce #beauty #skincare #skincareroutine pic.twitter.com/IU5KEkEFc4";;@glossier;#glossier #glossierrep #glossiergirl #thesupers #glow #pure #bounce #beauty #skincare #skincareroutine;"916517076512190464";https://twitter.com/damselinnoir/status/916517076512190464
;2017-09-22 09:36;0;4;"haloscope from @glossier is one of my must-have beauty products. // #glossier #glossiergirl #glossierrep #glossierdiscount #beauty #basics pic.twitter.com/PntMGYllBQ";;@glossier;#glossier #glossiergirl #glossierrep #glossierdiscount #beauty #basics;"911268076775182337";https://twitter.com/damselinnoir/status/911268076775182337
;2017-09-19 02:05;0;0;"Sneak peek at some of the content Septembers Issue glossier #bodyhero #glossiergirl #minimag https://www. instagram.com/p/BZN4mCMh1TO/";;;#bodyhero #glossiergirl #minimag;"910067396970532864";https://twitter.com/TamiraJarrel/status/910067396970532864
;2017-09-14 04:18;0;0;"@glossier makes beautiful and affordable products that actually work! #GoodBeauty #GlossierGirl https:// twitter.com/glamourmag/sta tus/908273250924421121 …";;@glossier;#GoodBeauty #GlossierGirl;"908288871875608576";https://twitter.com/elledgr8/status/908288871875608576
