username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-10-21 08:17;0;0;"And so the obsession begins glossier . . . #glossier #intothegloss #glossierpink #balmdotcom … https://www. instagram.com/p/Bag8iw9H52M/";;;#glossier #intothegloss #glossierpink #balmdotcom;"921757290318979073";https://twitter.com/Keeley_Smyth/status/921757290318979073
;2017-10-08 09:47;0;1;"Yes, everything comes packaged in a signature #GlossierPink Pouch. #Glossier #UK pic.twitter.com/5blAPLyF9O";;;#GlossierPink #Glossier #UK;"917068973472088066";https://twitter.com/SarahJTinoco/status/917068973472088066
;2017-10-06 22:32;0;6;"That moment when you realize your friend has #glossierpink hair and she's in front of a #bodyhero red door (cc @glossier ) pic.twitter.com/hRHnCdDVI6";;@glossier;#glossierpink #bodyhero;"916536573126217728";https://twitter.com/juliasimonepaul/status/916536573126217728
;2017-10-05 14:58;0;3;"Glossier pink nail polish is always a good idea . . . . . #glossierpink #glossier #nailpolish … https://www. instagram.com/p/BZ4dt5PFneo/";;;#glossierpink #glossier #nailpolish;"916059997749919744";https://twitter.com/BrianaWilvert/status/916059997749919744
;2017-10-02 08:59;28;208;"#glossierpink at Valentino image via @VogueRunway pic.twitter.com/LbMVuLmTjV";;@VogueRunway;#glossierpink;"914882598177972224";https://twitter.com/glossier/status/914882598177972224
;2017-09-24 12:40;37;242;"#glossierpink Lisbon, Portugal https://www. instagram.com/tamishka/ pic.twitter.com/4bhDQwEU2u";;;#glossierpink;"912039119370510337";https://twitter.com/glossier/status/912039119370510337
;2017-09-20 07:32;0;0;"I went to the #glossier showroom and it was beautiful! #glossierpink @Glossier https://www. instagram.com/p/BZRCuPFlla4/";;@Glossier;#glossier #glossierpink;"910511879600197633";https://twitter.com/sonalkam7/status/910511879600197633
;2017-09-14 20:16;0;2;"Dinner with @glossier tonight. @monicawangphoto #glossier #glossierpink http:// ift.tt/2h6bBjm pic.twitter.com/tOSiVgLggv";;@glossier @monicawangphoto;#glossier #glossierpink;"908530025015779328";https://twitter.com/GlitterGuide/status/908530025015779328
;2017-09-08 16:20;2;7;"Visit @glossier in #Toronto from now til Thursday at 1056 Queen St West. #glossier #glossierpink pic.twitter.com/6yjvEJSofg";;@glossier;#Toronto #glossier #glossierpink;"906296233542778880";https://twitter.com/HouseOfSabrina/status/906296233542778880
;2017-09-02 09:42;0;1;"#glossierpink #glossierskin @glossier pic.twitter.com/GqoOvi49KM";;@glossier;#glossierpink #glossierskin;"904021665566396416";https://twitter.com/xgiannna/status/904021665566396416
;2017-09-02 07:31;45;217;"#glossierpink Milan, Italy. pic via https://www. instagram.com/thelaurenmoore/ pic.twitter.com/q6aAx0CLYk";;;#glossierpink;"903988635934101504";https://twitter.com/glossier/status/903988635934101504
;2017-08-30 05:36;0;1;"Wowed by #wowder !!! #wow @glossier #glossierpink pic.twitter.com/WhVfz8wB1f";;@glossier;#wowder #wow #glossierpink;"902872738548916228";https://twitter.com/styledomination/status/902872738548916228
;2017-08-23 00:26;0;1;"Read all about my green, natural and cruelty-free beauty products on the blog - http:// bit.ly/2umFei1 . . . . . . . #glossierpink #live … pic.twitter.com/VECHe5fFOc";;;#glossierpink #live;"900257968385609728";https://twitter.com/Elle_Files/status/900257968385609728
;2017-08-21 12:41;0;1;"Thanks glossier for the gifts--looking forward to trying them #glossier #glossierpink … https://www. instagram.com/p/BYEWPkqDXKU/";;;#glossier #glossierpink;"899718021132038145";https://twitter.com/DrEsteeWilliams/status/899718021132038145
;2017-08-17 14:04;0;1;"Hey @glossier , can you make more nail polishes or just sell the #glossierpink one again because mines almost empty thanks";;@glossier;#glossierpink;"898289396771934210";https://twitter.com/cass_steinberg/status/898289396771934210
;2017-08-11 16:34;1;16;"Tres Rose. #fridayfeeling #glossierpink #girly https://www. instagram.com/p/BXrBAuEh5Nz/";;;#fridayfeeling #glossierpink #girly;"896152916867784705";https://twitter.com/cattaber/status/896152916867784705
;2017-08-08 09:51;0;2;"Unleashing the beast #manentail #glossierpink #camronpink #ootd @Gowanus, Brooklyn https://www. instagram.com/p/BXikaWplN2f/";;@Gowanus;#manentail #glossierpink #camronpink #ootd;"894964262820380673";https://twitter.com/royashariat/status/894964262820380673
;2017-07-31 18:01;0;0;"Feelin' right at home with glossier. #glossier #glossierpink #posyandkit #skinisin https://www. instagram.com/p/BXO2Mb6g0Kq/";;;#glossier #glossierpink #posyandkit #skinisin;"892188470902476801";https://twitter.com/Its_Laynie_Lou/status/892188470902476801
;2017-07-25 23:44;0;0;"Packed these to do my makeup at my desk because I overslept again! . . . . . #glossierpink #livelovebeauty #pursuepretty #vscophotos #beau … pic.twitter.com/fLeBjLOGgf";;;#glossierpink #livelovebeauty #pursuepretty #vscophotos #beau;"890100401235779585";https://twitter.com/Elle_Files/status/890100401235779585
;2017-07-19 08:24;1;3;"Fun assignment this week - wrote about @glossier 's expansion into Canada for @strategyonline : http:// strategyonline.ca/2017/07/19/ame rican-cult-beauty-brand-glossier-launches-in-canada/ … #glossierpink";;@glossier @strategyonline;#glossierpink;"887694571114819584";https://twitter.com/tweetsbykate88/status/887694571114819584
;2017-07-15 00:43;0;0;"IRL #glossierpink by @annacareyhere http:// ift.tt/2vnGqC2 pic.twitter.com/LiHv7nGj7O";;@annacareyhere;#glossierpink;"886129172812369920";https://twitter.com/furcoat/status/886129172812369920
;2017-07-14 03:20;0;0;"@glossier can yall make more nail polish please. My #glossierpink is almost empty and I can’t live without it.";;@glossier;#glossierpink;"885806232090685440";https://twitter.com/cass_steinberg/status/885806232090685440
;2017-07-11 18:36;3;18;"I had myself a @glossier IRL moment, guys. also, mildly freaked out one of the editors by asking to take her photo. #glossierpink pic.twitter.com/hGm93gpvXY";;@glossier;#glossierpink;"884949478490468354";https://twitter.com/eimyfig/status/884949478490468354
;2017-07-11 18:35;1;4;"The rumours are true. @Glossier is shipping to Canada..sooner than you think. #GlossierPink #Glossier pic.twitter.com/mYzR0J1TNp";;@Glossier;#GlossierPink #Glossier;"884949418851667970";https://twitter.com/HouseOfSabrina/status/884949418851667970
;2017-07-11 16:46;2;8;"Hanging with @glossier inside #PrayTell ! #Glossier #GlossierPink pic.twitter.com/dMjGz9pSCB";;@glossier;#PrayTell #Glossier #GlossierPink;"884921757706137600";https://twitter.com/NeueWilden/status/884921757706137600
;2017-07-08 08:00;25;194;"#glossierpink Old San Juan. Pic via @giovaavictoriaa pic.twitter.com/XvKaoE2RZh";;@giovaavictoriaa;#glossierpink;"883702258260725762";https://twitter.com/glossier/status/883702258260725762
;2017-06-27 15:56;0;1;"In Case Anyone Wants To Order The New @Glossier #BirthdayBalmDotCom Here's 20% Off: http:// bff.glossier.com/fJxT3 #Glossier #GlossierPink pic.twitter.com/1MN3LXK1Um";;@Glossier;#BirthdayBalmDotCom #Glossier #GlossierPink;"879835937542479873";https://twitter.com/RagDollEyez/status/879835937542479873
;2017-06-27 13:02;0;1;"#glossierpink boxes + one cute #blackcat = #glossier #glossierinthewild // @glossier @IntoTheGloss pic.twitter.com/tnNc29Tyza";;@glossier @IntoTheGloss;#glossierpink #blackcat #glossier #glossierinthewild;"879791959983874048";https://twitter.com/LTRLLYOBSSED/status/879791959983874048
;2017-06-14 16:11;0;0;"summer's a bit weird and lonely but at least it's pretty lol it's #glossierpink @The High Line https://www. instagram.com/p/BVVoNm9DWYg/";;@The;#glossierpink;"875128466378719234";https://twitter.com/unshipping13/status/875128466378719234
;2017-06-06 17:06;0;1;"#glossier #glossiergirl #glossierpink #glossieressentials #glossierskintint #glossierdiscountcode pic.twitter.com/kOsQEpiqk0";;;#glossier #glossiergirl #glossierpink #glossieressentials #glossierskintint #glossierdiscountcode;"872243290485252098";https://twitter.com/tvrblog/status/872243290485252098
;2017-06-04 16:38;0;0;"time to restock on your #glossier faves for summer, guys and gals! http:// bff.glossier.com/fCA0r #glossierpink #boybrow @glossier";;@glossier;#glossier #glossierpink #boybrow;"871511583247048704";https://twitter.com/laurenkazoo/status/871511583247048704
;2017-06-03 09:34;0;6;"it's a @SaturdaySkin kind of day @Dior @herbivorebeauty @glossier that #millennialpink &a mp; #glossierpink pic.twitter.com/YXwpn7V6YT";;@SaturdaySkin @Dior @herbivorebeauty @glossier;#millennialpink #glossierpink;"871042302680207360";https://twitter.com/sofhoney/status/871042302680207360
;2017-06-02 18:22;0;0;"@glossier #glossier #glossierpink #glossiergirl";;@glossier;#glossier #glossierpink #glossiergirl;"870812800079323137";https://twitter.com/tvrblog/status/870812800079323137
;2017-06-01 22:21;0;2;"Morning feels #coffee Repost @iamamayzing #regram #glossierpink @pietronolita pic.twitter.com/tqZxwt34Tg";;@iamamayzing @pietronolita;#coffee #regram #glossierpink;"870510731820544000";https://twitter.com/SassyChicSA/status/870510731820544000
;2017-05-31 16:17;0;1;"pretty young things #glossier #glossierrep #glossierinthewild #glossierpink @Glossier https://www. instagram.com/p/BUxes1sBtUF/";;@Glossier;#glossier #glossierrep #glossierinthewild #glossierpink;"870056645417512960";https://twitter.com/nmnalty/status/870056645417512960
;2017-05-31 13:46;0;1;"Glossier Pink Pouches. #glossier #glossierpink #drunkelephant #skincare #makeup … https://www. instagram.com/p/BUxUl8hF1AV/";;;#glossier #glossierpink #drunkelephant #skincare #makeup;"870018779668914176";https://twitter.com/gtk77/status/870018779668914176
;2017-05-16 13:54;0;2;"Just add a little glitter... @glossier #lipgloss #glossierpink #glitter pic.twitter.com/IEOxdrIROS";;@glossier;#lipgloss #glossierpink #glitter;"864584924854177792";https://twitter.com/kaylawinterton/status/864584924854177792
;2017-05-14 12:55;0;1;"Btw, reading @PopmagazineUS and this #GlossierPink -ish pic just came up too pic.twitter.com/p6bTEcuTke";;@PopmagazineUS;#GlossierPink;"863845164854501377";https://twitter.com/amandajorda/status/863845164854501377
;2017-05-08 17:01;0;3;"@glossier and glitter are the perfect match... #glossier #glossierpink pic.twitter.com/hkEV366ilc";;@glossier;#glossier #glossierpink;"861732874059436033";https://twitter.com/kaylawinterton/status/861732874059436033
;2017-04-28 08:14;0;0;"Use my code ( http:// bff.glossier.com/e507F ) to get 20% off your first purchase @glossier #glossierPROMOcode #glossier #glossierPINK";;@glossier;#glossierPROMOcode #glossier #glossierPINK;"857976381384253440";https://twitter.com/shellyhk/status/857976381384253440
;2017-04-26 08:01;0;0;"Son todos lindos Vos con cual te quedas? .. . .. #makeup #glos #gloss #glossierpink #lip … https://www. instagram.com/p/BTWlMBSFhUV/";;;#makeup #glos #gloss #glossierpink #lip;"857248157708812288";https://twitter.com/SoofiFontana/status/857248157708812288
;2017-04-24 17:24;0;0;"#GlossierPink : 'Why Millennial Pink Refuses to Go Away' http:// nymag.com/thecut/2017/03 /why-millennial-pink-refuses-to-go-away.html?mid=twitter-share-thecut … via @thecut";;@thecut;#GlossierPink;"856665166519255040";https://twitter.com/tammi_ireland/status/856665166519255040
;2017-04-24 11:09;0;2;"@glossier has a full collection on my ig dedicated to #glossierpink pic.twitter.com/FjWde9XEAa";;@glossier;#glossierpink;"856570777591848962";https://twitter.com/sofhoney/status/856570777591848962
