username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-03-03 19:09;0;0;"@glossier #nofilterjustglossier hi I'm obsessed pic.twitter.com/9OpEOCY6mx";;@glossier;#nofilterjustglossier;"837862522707312641";https://twitter.com/julietminch/status/837862522707312641
;2017-02-17 10:25;0;0;"Hello here I am #nofilterjustglossier #boybrow @Brooklyn Bridge https://www. instagram.com/p/BQn2f88DBGg/";;@Brooklyn;#nofilterjustglossier #boybrow;"832657165072601088";https://twitter.com/xgiannna/status/832657165072601088
;2017-02-08 16:00;1;12;"didn't have time to put on anything but my @glossier phase 1 this morning & everyone is complimenting my skin #nofilterjustglossier is real!";;@glossier;#nofilterjustglossier;"829480037359505411";https://twitter.com/lilcarnitas/status/829480037359505411
;2017-02-06 15:32;0;0;"Loving @glossier 's latest product! #skincarefirstmakeupsecond #nofilterjustglossier pic.twitter.com/1P1A5S4633";;@glossier;#skincarefirstmakeupsecond #nofilterjustglossier;"828748349075517442";https://twitter.com/SunitaPatnaik9/status/828748349075517442
;2017-02-01 19:20;2;25;"#nofilterjustglossier @glossier pic.twitter.com/6KLxyBGrQG";;@glossier;#nofilterjustglossier;"826993701947895808";https://twitter.com/RohiniMik/status/826993701947895808
;2017-01-24 13:38;0;3;"am i the problem or the solution? #nofilterjustglossier pic.twitter.com/fV9ESO3LIc";;;#nofilterjustglossier;"824008468197613571";https://twitter.com/kleemorgan/status/824008468197613571
;2017-01-20 13:17;0;0;"#nofilterjustglossier Get 20% off! http:// ift.tt/2a5OO1Y #haloscope #boybrow #stretchco … http:// ift.tt/2iU62zK pic.twitter.com/r9YH99IiIS";;;#nofilterjustglossier #haloscope #boybrow #stretchco;"822553643459248130";https://twitter.com/KinsleeDuBois/status/822553643459248130
;2017-01-20 13:05;0;1;"#nofilterjustglossier #haloscope #boybrow #stretchconcealer Get 20% off here: … http:// ift.tt/2j3F2Rq pic.twitter.com/ps7gHSD8Yu";;;#nofilterjustglossier #haloscope #boybrow #stretchconcealer;"822550591222194178";https://twitter.com/KinsleeDuBois/status/822550591222194178
;2017-01-17 11:47;0;0;"sophiekatherinejones . #nofilterjustglossier #primingmoisturizerrich#andtheotherstuffitagged @… https://www. instagram.com/p/BPYLR2XjKIz/";;@;#nofilterjustglossier #primingmoisturizerrich #andtheotherstuffitagged;"821443861696380928";https://twitter.com/SuzyGerstein/status/821443861696380928
;2017-01-15 12:36;0;1;"About last night (and because I mistakenly thought my phone ate it): #nofilterjustglossier . @… https://www. instagram.com/p/BPTHVfhjV4N/";;@;#nofilterjustglossier;"820731494746484736";https://twitter.com/donora_ann/status/820731494746484736
;2016-12-15 14:31;0;56;"#nofilterjustglossier @glossier skin first, makeup second. "the supers" 10/10 highly recommend. pic.twitter.com/OTnzZfSGL3";;@glossier;#nofilterjustglossier;"809526347987042304";https://twitter.com/Megantaylor_xox/status/809526347987042304
;2016-12-06 19:22;0;0;"Whoever said orange was the new pink was seriously disturbed. #nofilterjustglossier #skinisin … https://www. instagram.com/p/BNs1-WBjDKQ/";;;#nofilterjustglossier #skinisin;"806338090331766784";https://twitter.com/gabriellaloren/status/806338090331766784
;2016-11-14 07:35;0;0;"Black Tie Set (with a video) on blog today #nofilterjustglossier https://www. instagram.com/p/BMy7lK4BxaZ/";;;#nofilterjustglossier;"798187650653917184";https://twitter.com/Denajulias/status/798187650653917184
