tweet, time
@lifeofdeann Stickers are included in every Glossier order 👍,Sun Nov 05 23:23:20 +0000 2017
We’re open—come by ❣️ 123 Lafayette (ground floor) https://t.co/dc1XgsAswZ,Sun Nov 05 21:18:03 +0000 2017
“I got two compliments at work… not that my perfume smelled good; but that I smelled good.” https://t.co/o4w0xEb4WB https://t.co/bPFW070oM6,Sun Nov 05 16:00:01 +0000 2017
@GlNNYBAEKER Perfecting Skin Tint does not have SPF — but you can apply Invisible Shield before your makeup for protection from the sun 😎,Sun Nov 05 15:33:25 +0000 2017
📯Glossier You 📯 opens Sunday at 11am on the ground floor of 123 Lafayette https://t.co/xVLUMd4BYV,Sun Nov 05 00:56:59 +0000 2017
@reenarozita Oh no! DM us and we can help.,Sat Nov 04 22:13:54 +0000 2017
@reenarozita Sorry to hear that! DM us with your order number and we can help.,Sat Nov 04 15:15:38 +0000 2017
🌹 pic via https://t.co/pivPlZtWF2 https://t.co/1u0V1gLKlj,Sat Nov 04 15:00:04 +0000 2017
@skippypaulson_ https://t.co/lxyenJf4mG 💕,Sat Nov 04 14:23:48 +0000 2017
RT @lyingkitten: update: the @glossier perfume smells like the me that i strive to be,Sat Nov 04 14:20:15 +0000 2017
@Lauren_Elizz Sorry that happened! DM us with your order number and we can help.,Fri Nov 03 21:10:32 +0000 2017
@marykatie1 DM us for more details!,Fri Nov 03 21:10:03 +0000 2017
😀📫 https://t.co/SBSvjLHvl1,Fri Nov 03 21:00:02 +0000 2017
Weekend’s almost here 👌😊,Fri Nov 03 17:53:55 +0000 2017
Dallas; we're coming. Details—&gt; https://t.co/A5pAAclxOy,Fri Nov 03 14:30:11 +0000 2017
@dr1ussi Sorry to hear that. DM us and we’ll help.,Fri Nov 03 11:23:15 +0000 2017
@uncIeanspirit Back up and running 💕,Thu Nov 02 21:10:35 +0000 2017
🏆 pic via https://t.co/3OuD1nGQpd https://t.co/0A82YVoWAU,Thu Nov 02 21:00:02 +0000 2017
You look good.,Thu Nov 02 17:44:08 +0000 2017
@grammariannne Click on the U.K. flag on the bottom of  https://t.co/lJPHYSrKkl; or go to Glossier/com/UK. Then you can check out 👍,Thu Nov 02 15:04:09 +0000 2017
@Book_Of_Eleanor DM us and we can help 👍,Thu Nov 02 12:07:50 +0000 2017
@ariesg0ddess It’s gloss-ee-ay 💕,Thu Nov 02 11:20:11 +0000 2017
Ooh yeah. Generation G in Zip + Lip Gloss 💃;https://t.co/9PY5v9r9LT https://t.co/L4wofoRVCf,Wed Nov 01 21:39:36 +0000 2017
@hello_karena Yes! Samples of Glossier You are included with every order.,Wed Nov 01 19:03:46 +0000 2017
@serenaaade DM us with your order number and we can help with that :),Wed Nov 01 19:02:59 +0000 2017
Excited and honored to be one of #LinkedInTopCompanies this year! @linkedin https://t.co/ggRBse3toP,Wed Nov 01 18:45:32 +0000 2017
Ready for November❣️,Wed Nov 01 18:43:46 +0000 2017
