"","days","N"
"1","2017-10-31",29
"2","2017-10-30",22
"3","2017-10-29",18
"4","2017-10-28",14
"5","2017-10-27",19
"6","2017-10-26",26
"7","2017-10-25",33
"8","2017-10-24",32
"9","2017-10-23",43
"10","2017-10-22",30
"11","2017-10-21",29
"12","2017-10-20",35
"13","2017-10-19",26
"14","2017-10-18",41
"15","2017-10-17",25
"16","2017-10-16",44
"17","2017-10-15",32
"18","2017-10-14",22
"19","2017-10-13",28
"20","2017-10-12",46
"21","2017-10-11",41
"22","2017-10-10",35
"23","2017-10-09",143
"24","2017-10-08",41
"25","2017-10-07",11
"26","2017-10-06",13
"27","2017-10-05",19
"28","2017-10-04",16
"29","2017-10-03",22
"30","2017-10-02",15
"31","2017-10-01",14
"32","2017-09-30",8
"33","2017-09-29",10
"34","2017-09-28",13
"35","2017-09-27",18
"36","2017-09-26",16
"37","2017-09-25",11
"38","2017-09-24",14
"39","2017-09-23",9
"40","2017-09-22",31
"41","2017-09-21",9
"42","2017-09-20",16
"43","2017-09-19",10
"44","2017-09-18",19
"45","2017-09-17",14
"46","2017-09-16",16
"47","2017-09-15",25
"48","2017-09-14",8
"49","2017-09-06",12
"50","2017-09-05",9
"51","2017-09-04",11
